id,text,tokens,ner_tags,entities,source_type
train-00000,The documentary follows expeditions to Mount Kenya and later to Broad Peak.,"[""The"", ""documentary"", ""follows"", ""expeditions"", ""to"", ""Mount"", ""Kenya"", ""and"", ""later"", ""to"", ""Broad"", ""Peak"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 39, ""end"": 50, ""label"": ""MOUNTAIN"", ""text"": ""Mount Kenya""}, {""start"": 64, ""end"": 74, ""label"": ""MOUNTAIN"", ""text"": ""Broad Peak""}]",synthetic_positive_multi
train-00001,A helicopter circled above Grand Teton during the rescue.,"[""A"", ""helicopter"", ""circled"", ""above"", ""Grand"", ""Teton"", ""during"", ""the"", ""rescue"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 27, ""end"": 38, ""label"": ""MOUNTAIN"", ""text"": ""Grand Teton""}]",synthetic_positive_single
train-00002,The travel company approved the algorithm during the conference.,"[""The"", ""travel"", ""company"", ""approved"", ""the"", ""algorithm"", ""during"", ""the"", ""conference"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00003,They began their ascent of Mount Vesuvius at dawn.,"[""They"", ""began"", ""their"", ""ascent"", ""of"", ""Mount"", ""Vesuvius"", ""at"", ""dawn"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 27, ""end"": 41, ""label"": ""MOUNTAIN"", ""text"": ""Mount Vesuvius""}]",synthetic_positive_single
train-00004,A documentary crew filmed near Mount Mitchell.,"[""A"", ""documentary"", ""crew"", ""filmed"", ""near"", ""Mount"", ""Mitchell"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 31, ""end"": 45, ""label"": ""MOUNTAIN"", ""text"": ""Mount Mitchell""}]",synthetic_positive_single
train-00005,The tourist group updated the weather forecast during the conference.,"[""The"", ""tourist"", ""group"", ""updated"", ""the"", ""weather"", ""forecast"", ""during"", ""the"", ""conference"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00006,"She has photographed Mount Tongariro, Jebel Toubkal, and several nearby peaks.","[""She"", ""has"", ""photographed"", ""Mount"", ""Tongariro"", "","", ""Jebel"", ""Toubkal"", "","", ""and"", ""several"", ""nearby"", ""peaks"", "".""]","[""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 21, ""end"": 36, ""label"": ""MOUNTAIN"", ""text"": ""Mount Tongariro""}, {""start"": 38, ""end"": 51, ""label"": ""MOUNTAIN"", ""text"": ""Jebel Toubkal""}]",synthetic_positive_multi
train-00007,The expedition reached the summit of Mount Sanford before noon.,"[""The"", ""expedition"", ""reached"", ""the"", ""summit"", ""of"", ""Mount"", ""Sanford"", ""before"", ""noon"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 37, ""end"": 50, ""label"": ""MOUNTAIN"", ""text"": ""Mount Sanford""}]",synthetic_positive_single
train-00008,She hopes to climb Mount Mitchell next year.,"[""She"", ""hopes"", ""to"", ""climb"", ""Mount"", ""Mitchell"", ""next"", ""year"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 19, ""end"": 33, ""label"": ""MOUNTAIN"", ""text"": ""Mount Mitchell""}]",synthetic_positive_single
train-00009,Photos of Table Mountain were displayed in the museum.,"[""Photos"", ""of"", ""Table"", ""Mountain"", ""were"", ""displayed"", ""in"", ""the"", ""museum"", "".""]","[""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 10, ""end"": 24, ""label"": ""MOUNTAIN"", ""text"": ""Table Mountain""}]",synthetic_positive_single
train-00010,"From the eastern ridge, we watched the sun rise behind Sajama.","[""From"", ""the"", ""eastern"", ""ridge"", "","", ""we"", ""watched"", ""the"", ""sun"", ""rise"", ""behind"", ""Sajama"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O""]","[{""start"": 55, ""end"": 61, ""label"": ""MOUNTAIN"", ""text"": ""Sajama""}]",synthetic_positive_single
train-00011,"During the spring survey, scientists visited Ol Doinyo Lengai.","[""During"", ""the"", ""spring"", ""survey"", "","", ""scientists"", ""visited"", ""Ol"", ""Doinyo"", ""Lengai"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 45, ""end"": 61, ""label"": ""MOUNTAIN"", ""text"": ""Ol Doinyo Lengai""}]",synthetic_positive_single
